ZBED5, 19965, 15.154057
CUX1, 4674, 15.125605
GOLGA8C, 7346, 15.116954
ABCA9, 48, 15.104491
AC131238.1, 379, 15.103091
PLAGL1, 14047, 15.098142
MPHOSPH9, 11686, 15.097425
NCK2, 12199, 15.082013
MGST2, 11501, 15.074255
CEP135, 3815, 15.073735
LOC158696, 10322, 15.072322
EIF4E3, 5691, 15.067411
C14orf162, 2204, 15.054137
LOC100131943, 10013, 15.034017
PANK1, 13430, 15.029436
PDE4A, 13658, 15.021948
RET, 15300, 15.017572
KLF9, 9239, 15.009968
PDE7A, 13670, 14.996104
CCR10, 3517, 14.978371
PMEPA1, 14159, 14.971494
CCL27, 3477, 14.952862
CPSF1, 4401, 14.951500
VPS54, 19625, 14.949945
ELOVL4, 5734, 14.941189
ZNF740, 20595, 14.934641
MRS2, 11812, 14.884595
OR4N2, 13079, 14.880582
KCNJ3, 8925, 14.875219
GNAS, 7293, 14.870311
C16ORF52, 2267, 14.864418
GNRH1, 7329, 14.858830
FAM155A, 6143, 14.854520
HELQ, 7862, 14.852232
SPSB2, 17425, 14.849412
IPW, 8672, 14.840524
C20orf74, 2620, 14.839761
OIP5-AS1, 12851, 14.831138
EMX1, 5767, 14.818953
DIS3, 5153, 14.809100
WDR19, 19697, 14.805038
PTPRD, 14849, 14.804199
DDHD2, 4943, 14.798418
SLC16A7, 16695, 14.790822
TPTE2P6, 18789, 14.778893
AMD1, 902, 14.768316
NR3C1, 12625, 14.718317
SNHG1, 17143, 14.700375
MSH4, 11835, 14.684210
MIR31HG, 11545, 14.683656
IRS1, 8715, 14.670991
DPY19L2P2, 5375, 14.651101
PRH2, 14530, 14.649548
KLHL15, 9258, 14.640600
NPIPL3, 12578, 14.639823
KDM2B, 9001, 14.636611
RHOXF1, 15411, 14.630335
TCHP, 18031, 14.615489
LOC149837, 10310, 14.593983
CPLX1, 4380, 14.584498
IGLL3P, 8461, 14.580865
LAT, 9548, 14.576578
C18orf8, 2378, 14.576060
ANKRD29, 997, 14.565608
IL7R, 8571, 14.562795
NUP35, 12765, 14.562289
GLS2, 7242, 14.554262
GPR85, 7504, 14.543235
MAML1, 11115, 14.539142
ETV4, 5947, 14.523921
ATXN2L, 1609, 14.521380
CSTF2, 4575, 14.510103
C11orf52, 2080, 14.504756
ARC, 1232, 14.500968
CCNI, 3503, 14.496831
MSRB3, 11852, 14.491895
MRGPRF, 11723, 14.485754
CHRD, 3943, 14.483822
TRIP11, 18923, 14.477554
AC091565.3, 308, 14.468950
LOC283788, 10346, 14.453039
